platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at
draftkings,34118219,357431966,0QA357431966#2284541763_13L88808Q1-1250365177Q20,Jahmyr Gibbs,,NFL,First TD Scorer,player_touchdown,,400,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541224_13L88808Q11712576467Q20,James Cook,,NFL,First TD Scorer,player_touchdown,,450,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541286_13L88808Q1-463703316Q20,Josh Allen,,NFL,First TD Scorer,player_touchdown,,750,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541348_13L88808Q1-1107510400Q20,D.J. Moore,,NFL,First TD Scorer,player_touchdown,,1000,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541815_13L88808Q1-1664214611Q20,Amon-Ra St. Brown,,NFL,First TD Scorer,player_touchdown,,1000,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541401_13L88808Q11376663295Q20,Dalton Kincaid,,NFL,First TD Scorer,player_touchdown,,1200,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541451_13L88808Q11836868840Q20,Khalil Shakir,,NFL,First TD Scorer,player_touchdown,,1500,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541870_13L88808Q1-1721268165Q20,Jameson Williams,,NFL,First TD Scorer,player_touchdown,,1600,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541842_13L88808Q1-1497702701Q20,Sam LaPorta,,NFL,First TD Scorer,player_touchdown,,1700,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
draftkings,34118219,357431966,0QA357431966#2284541505_13L88808Q1-1000042723Q20,Keon Coleman,,NFL,First TD Scorer,player_touchdown,,2500,,34118219,2026-09-18T00:15:00.0000000Z,,2026-09-17T11:53:02.607697+00:00
