platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at
draftkings,34118180,357438427,0QA357438427#2293251851_13L88808Q1-203534720Q20,Bijan Robinson,,NFL,First TD Scorer,player_touchdown,,425,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293250911_13L88808Q1-2008591396Q20,Christian Watson,,NFL,First TD Scorer,player_touchdown,,800,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293250815_13L88808Q1-320404552Q20,MarShawn Lloyd,,NFL,First TD Scorer,player_touchdown,,900,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293251442_13L88808Q1-1465353445Q20,Kaleb Johnson,,NFL,First TD Scorer,player_touchdown,,900,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293251057_13L88808Q12007794349Q20,Matthew Golden,,NFL,First TD Scorer,player_touchdown,,950,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293251128_13L88808Q1-883721251Q20,Tucker Kraft,,NFL,First TD Scorer,player_touchdown,,950,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293251267_13L88808Q1-1051000377Q20,Chris Brooks,,NFL,First TD Scorer,player_touchdown,,1000,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293251879_13L88808Q1-1524818264Q20,Drake London,,NFL,First TD Scorer,player_touchdown,,1100,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293251800_13L88808Q12139424031Q20,Skyy Moore,,NFL,First TD Scorer,player_touchdown,,2000,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
draftkings,34118180,357438427,0QA357438427#2293251971_13L88808Q1744531262Q20,Kyle Pitts Sr.,,NFL,First TD Scorer,player_touchdown,,2200,,34118180,2026-09-25T00:15:00.0000000Z,,2026-09-22T19:48:46.995613+00:00
