race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Jonathan Kreiss-Tomkins,Bernadette Wilson,DEM,REP,,REP,11.76,87.0,13.0,Likely D,-13.27,5.3,-9.03,0.0,0.0,-1.06,-13.8,4.76,True,False,,4,Jonathan Kreiss-Tomkins,10.81,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.48,54.52,0.0,107545,128901,0,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.45,2.8,97.2,Safe R,-29.66,5.3,-21.47,0.0,3.37,-0.48,-30.88,11.43,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.27,59.73,0.0,638585,946978,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-21.48,1.7,98.3,Safe R,-30.62,5.3,-25.95,0.0,-0.13,-0.51,-31.57,10.09,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-5.0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.26,60.74,0.0,329591,509865,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.67,80.5,19.5,Likely D,-4.25,5.3,8.36,0.94,6.01,0.36,-5.59,14.26,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,37.27,19,9.36,0.309,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.33,45.67,0.0,1289079,1083444,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.83,99.7,0.3,Safe D,23.42,5.3,29.86,0.25,0.0,0.89,20.82,7.01,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,56.04,35.51,5,20.53,0.218,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.91,36.09,0.0,7093626,4004918,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.81,96.0,4.0,Safe D,11.48,5.3,17.4,0.64,0.0,-0.01,11.29,6.52,False,False,IND,0,,0.0,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.78,39.62,0.0,1269074,885390,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.2,97.1,2.9,Safe D,15.88,5.3,20.07,0.0,-1.03,-0.09,14.76,4.44,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.91,34.49,3,16.43,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6,40.4,0.0,733768,497372,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.43,26.1,73.9,Lean R,-10.43,5.3,-7.25,-2.16,-0.47,0.51,-13.22,6.79,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.39,43.16,17,-4.38,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.78,53.22,0.0,3581181,4073645,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.99,58.0,42.0,Toss-up,-1.84,5.3,1.08,-2.26,0.0,-0.12,-2.21,4.19,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,4.51,0.264,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.99,49.01,0.0,1874014,1801032,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.23,99.9,0.1,Safe D,25.72,5.3,32.23,0.0,1.67,-0.46,23.56,8.67,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.11,33.89,0.0,239131,122560,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.07,69.3,30.7,Lean D,-12.13,5.3,5.38,2.06,10.86,-0.71,-13.45,18.51,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.12,44.77,8,4.37,0.31,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.53,47.47,0.0,611732,552722,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-41.99,0.0,100.0,Safe R,-36.27,5.3,-45.65,-1.82,-12.37,-0.49,-37.52,-4.47,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,29.0,50.5,1,-24.5,0.173,136953,2057743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,71.0,0.0,183756,449787,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.07,97.6,2.4,Safe D,12.91,5.3,20.03,1.84,-0.02,0.0,11.14,8.93,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.03,39.97,0.0,2374180,1580556,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-9.37,17.6,82.4,Likely R,-16.42,5.3,-11.55,0.0,0.0,-0.43,-16.41,7.05,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.0,46.0,1,-2.0,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.32,54.68,0.0,421138,508176,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.78,99.9,0.1,Safe D,27.8,5.3,33.88,0.0,1.13,-0.34,25.91,4.87,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,53.37,31.99,8,21.37,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.39,34.61,0.0,1590036,841532,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.25,100.0,0.0,Safe D,30.37,5.3,39.02,0.0,3.43,-0.08,29.51,6.74,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,58.0,31.0,1,24.0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.13,31.87,0.0,1448914,677920,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.57,87.5,12.5,Likely D,7.36,5.3,11.69,0.0,0.0,-0.97,7.09,4.48,False,False,IND,0,,0.0,Rick Bennett,5.69,0.0,,,0.0,confirmed,confirmed,50.81,38.39,4,12.42,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.61,41.7,0.0,306176,242673,0,33114,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.31,88.9,11.1,Likely D,-0.43,5.3,14.43,0.21,9.97,-0.63,-1.44,13.75,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.21,42.16,24,7.37,0.3,5958887,4492470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.15,43.85,0.0,2226106,1738156,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,11.76,87.8,12.2,Likely D,4.83,5.3,10.86,1.57,-0.12,-0.72,4.34,7.41,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,51.72,36.25,4,15.46,0.195,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.88,44.12,0.0,1272776,1004968,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-17.64,4.1,95.9,Safe R,-20.91,5.3,-19.34,0.0,-3.25,-0.48,-20.84,3.2,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-8.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18,58.82,0.0,273033,389978,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.2,11.3,88.7,Likely R,3.63,5.3,-13.11,-1.39,-19.79,-0.86,2.82,-15.02,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,38.47,47.97,6,-9.5,0.253,908163,6079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,56.1,0.0,253891,324441,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,9.7,83.2,16.8,Likely D,7.41,5.3,9.39,1.95,-6.39,1.12,6.14,3.56,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,45.55,35.12,3,10.53,0.271,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.85,45.15,0.0,354540,291837,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.84,61.3,38.7,Lean D,-1.57,5.3,5.45,0.47,0.85,0.4,-3.15,6.0,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,43.14,49.05,10,-4.94,0.251,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.42,48.58,0.0,534310,504757,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.36,90.7,9.3,Likely D,15.56,5.3,13.65,0.16,-7.5,0.13,12.68,0.67,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.45,36.89,17,12.62,0.283,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.68,43.32,0.0,3294950,2518548,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.65,32.1,67.9,Lean R,-10.38,5.3,-6.25,-0.48,0.0,-0.69,-11.31,6.67,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.69,48.29,19,-0.71,0.289,15928993,30306297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.68,52.32,0.0,1923985,2111527,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Mike Mazzei,DEM,REP,,REP,-30.26,0.1,99.9,Safe R,-34.86,5.3,-30.26,0.0,0.0,-0.7,-34.95,4.69,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.87,65.13,0.0,382249,713973,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,5.71,71.5,28.5,Lean D,15.18,5.3,6.73,0.0,-13.29,-0.46,14.89,-9.18,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,44.2,47.13,3,-0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.85,47.15,0.0,830749,741025,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,17.56,95.8,4.2,Safe D,-0.99,5.3,17.35,1.95,11.61,-0.53,-1.75,19.31,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,54.09,36.01,14,18.07,0.294,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.78,41.22,0.0,2894088,2029529,0,0,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Elaine Pelino,DEM,REP,,DEM,20.25,97.7,2.3,Safe D,15.75,5.3,20.85,0.0,0.0,-0.2,14.16,6.09,False,False,IND,0,,0.0,Ken Block,18.0,0.0,,,0.0,presumptive,projected,42.0,20.0,1,22.0,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3,32.7,0.0,177174,117491,0,64683,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.19,15.6,84.4,Likely R,-16.61,5.3,-10.15,1.47,0.07,-0.39,-18.12,7.93,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.66,47.0,2,-10.33,0.221,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9,55.1,0.0,800943,982755,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.77,0.6,99.4,Safe R,-29.41,5.3,-25.77,0.0,-0.64,-1.02,-29.98,4.21,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.12,62.88,0.0,110781,187692,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-16.92,4.8,95.2,Safe R,-28.6,5.3,-20.11,0.0,3.73,-0.54,-30.12,13.2,False,False,IND,0,,0.0,Lauren Pinkston,7.32,0.0,,,0.0,confirmed,confirmed,33.2,49.82,3,-16.62,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,54.18,0.0,825750,1162013,0,156996,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-8.55,19.8,80.2,Likely R,-11.93,5.3,-10.51,-1.58,-3.33,1.04,-13.88,5.33,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,44.09,48.26,24,-4.25,0.313,8589462,71434049,0,3002416,67461299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.72,54.28,0.0,3650275,4332895,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-22.75,1.3,98.7,Safe R,33.44,5.3,-24.79,0.0,-62.58,-0.95,32.77,-55.52,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,30.95,43.32,2,-12.37,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.63,61.37,0.0,99884,158711,0,0,258595
WI-GOV,governor,WI,GOV,David Crowley,Tom Tiffany,DEM,REP,,DEM,2.74,60.9,39.1,Lean D,-0.43,5.3,2.73,-1.76,0.28,-0.66,-0.87,3.61,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,43.81,6,2.75,0.295,1426778,15315779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.37,48.63,0.0,1230825,1165217,0,0,2396043
WY-GOV,governor,WY,GOV,Kenneth Casner,Eric Barlow,DEM,REP,,REP,-42.11,0.0,100.0,Safe R,-46.77,5.3,-42.11,0.0,0.0,-0.64,-46.96,4.85,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,1673103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.95,71.05,0.0,54515,133819,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.35,45.3,54.7,Toss-up,-12.08,5.3,-3.37,0.36,4.11,-1.06,-13.8,11.63,True,False,,4,Dan S. Sullivan,1.75,,0.0,0.0,,,0.0,confirmed,confirmed,49.13,48.02,14,0.83,0.272,18545132,9136967,0,4636755,7295069,0,7911793,11793404,13908377,3932803,0,6750626,558386,0,603646,1998758,0,0,0,0,0,0,0,47.67,49.83,2.5,112703,117832,5911,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-22.87,1.2,98.8,Safe R,-26.8,5.3,-24.26,-3.2,0.93,-0.48,-30.88,8.01,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,47.0,1,-15.0,0.15,83341,3787330,0,-10011,627788,0,3019,17142534,94747,3284673,0,4247,346554,0,0,881598,0,70643,50000,0,0,360928,0,38.57,61.43,0.0,611491,974072,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-21.57,1.7,98.3,Safe R,-28.09,5.3,-25.84,-0.87,-1.67,-0.51,-31.57,9.99,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.64,48.37,4,-8.89,0.252,2269114,6233117,0,863578,9931885,0,0,3244245,1405536,3752101,0,807603,552197,0,20060,1191500,0,0,0,0,0,73959,0,39.21,60.79,0.0,329177,510280,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,24.79,99.3,0.7,Safe D,13.11,5.3,24.79,2.84,3.55,-0.01,11.29,13.5,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8119380,138147,0,2083870,50021,0,510004,0,7471143,88913,0,1302169,28371,0,958273,999,0,0,2200,0,0,0,0,62.4,37.6,0.0,1394504,840417,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,24.51,99.2,0.8,Safe D,15.57,5.3,24.51,2.25,1.67,-0.28,14.84,9.67,False,False,,0,,0.0,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,4168081,159367,0,4793384,98413,0,11559,0,1559897,60954,0,60175,5698,0,1408377,300,0,0,129260,0,0,129250,0,62.25,37.75,0.0,222583,134960,0,0,357542
FL-SEN,senate,FL,SEN,Angie Nixon,Ashley Moody,DEM,REP,REP,REP,-6.89,24.7,75.3,Likely R,-8.73,5.3,-6.39,-1.8,-1.67,0.51,-13.22,6.33,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.04,49.3,4,-9.25,0.175,974845,11270805,0,264978,8491175,0,52168,603843,709866,2779629,0,576840,1529142,0,0,2083000,0,0,0,0,0,0,0,46.55,53.45,0.0,3563703,4091123,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.36,89.0,11.0,Likely D,-0.79,5.3,12.79,1.67,6.73,-0.12,-2.21,14.57,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,53.62,42.98,11,11.11,0.257,77279766,7409350,0,42587451,2079981,0,991911,2796265,39682882,5932539,0,39110515,2085895,0,931316,495632,0,0,65000,0,0,461916,0,56.18,43.82,0.0,2064574,1610472,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-2.73,39.1,60.9,Lean R,-7.51,5.3,-4.03,-0.18,-0.93,-0.71,-13.45,10.72,False,False,LIB,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,45.42,47.0,13,-1.62,0.323,6276527,10217845,0,2362314,6749491,0,18206888,16481009,3914213,5396429,0,2726556,1052135,0,440127,2232367,0,0,0,0,0,0,0,47.36,50.01,2.63,551462,582367,30625,0,1164454
ID-SEN,senate,ID,SEN,(No Democrat),Jim Risch,DEM,REP,REP,REP,-24.59,0.8,99.2,Safe R,-31.39,5.3,-29.39,-1.14,-1.67,-0.49,-37.52,12.93,False,True,IND,0,,0.0,Todd Achilles,37.71,0.8,,,0.0,,confirmed,29.96,39.02,5,-10.56,0.255,0,3357516,692245,0,3535956,194226,0,0,0,2241925,506311,0,139910,115721,0,959329,10000,0,0,10500,0,0,0,0.0,62.29,0.0,0,394664,0,238879,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,20.76,97.9,2.1,Safe D,15.14,5.3,20.76,0.32,0.0,0.0,11.14,9.62,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,5906599,2459890,0,1107958,1512424,0,10437456,11068156,4798641,947466,0,1182892,27050,0,426634,12325,0,0,2000000,0,0,2000000,0,60.38,39.62,0.0,2387818,1566919,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-9.12,18.3,81.7,Likely R,-14.66,5.3,-10.94,-0.06,-1.09,-0.43,-16.41,7.29,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,43.78,44.12,4,-3.35,0.24,4169078,4009075,0,1730621,5388078,0,592009,2202075,2438457,326015,0,767189,151384,0,17500,1555250,0,50050,0,0,50000,0,0,45.44,54.56,0.0,422278,507036,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-28.65,0.2,99.8,Safe R,-30.07,5.3,-31.24,-0.86,-4.86,-0.75,-31.03,2.38,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,38.0,49.0,1,-14.0,0.15,1099509,9981055,0,309623,2305546,0,8306596,6980575,789887,11368587,0,654554,729356,0,24750,1995311,0,0,0,0,89868,0,0,35.67,64.33,0.0,518041,934128,0,0,1452169
LA-SEN,senate,LA,SEN,Jamie Davis,Julia Letlow,DEM,REP,,REP,-23.96,0.9,99.1,Safe R,-21.43,5.3,-23.96,-0.45,-7.1,-0.28,-22.36,-1.6,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1983548,6210122,0,479104,1427072,0,10861766,12093658,1504444,4783049,0,1699034,127995,0,0,824000,0,10000,0,0,10000,0,0,38.02,61.98,0.0,534131,870751,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,32.27,99.9,0.1,Safe D,29.01,5.3,36.16,0.52,1.67,-0.34,25.91,6.36,False,False,,0,,0.0,,0.0,0.0,,,0.0,presumptive,presumptive,50.61,30.23,9,20.39,0.247,5352148,1561360,0,1348676,712417,0,42917,3329005,5814159,848943,0,804613,71926,0,589250,5775,0,0,1053414,0,0,1005000,0,66.13,33.87,0.0,1608110,823458,0,0,2431568
ME-SEN,senate,ME,SEN,Troy Jackson,Susan Collins,DEM,REP,REP,REP,0.27,52.1,47.9,Toss-up,8.48,5.3,-0.74,0.0,-13.55,-0.97,7.09,-6.82,True,False,,2,Troy Jackson,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.26,44.4,6,2.56,0.305,0,16169827,0,0,11038115,0,5454222,21773640,0,7708021,0,0,1425763,0,0,1263550,0,0,0,0,0,0,0,50.13,49.87,0.0,291760,290202,0,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,5.64,71.3,28.7,Lean D,3.01,5.3,7.76,-0.36,0.44,-0.63,-1.44,7.08,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.06,44.71,26,1.47,0.337,14514336,10898177,0,2552763,4473237,0,11507958,56472418,11961573,6680643,0,4142626,2220167,0,71845,849227,0,0,0,0,0,0,0,52.82,47.18,0.0,2093935,1870326,0,0,3964262
MN-SEN,senate,MN,SEN,Peggy Flanagan,Michele Tafoya,DEM,REP,,DEM,9.96,83.8,16.2,Likely D,6.68,5.3,11.18,-0.09,0.0,-0.72,4.34,5.61,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.18,41.09,5,4.99,0.197,6517348,5337942,0,1058604,1372728,0,1746564,7920529,5458744,3965545,0,2913200,2464154,0,177992,229000,0,7000,7878,0,0,294847,0,54.98,45.02,0.0,1252258,1025486,0,0,2277744
MS-SEN,senate,MS,SEN,Scott Colom,Cindy Hyde-Smith,DEM,REP,REP,REP,-13.19,9.6,90.4,Likely R,-21.48,5.3,-14.09,-0.15,2.62,-0.37,-23.15,9.96,False,False,IND,0,,0.0,Ty Pinkins,3.54,0.0,,,0.0,confirmed,confirmed,39.49,45.44,2,-8.95,0.209,2384921,3825455,98038,847046,2535896,5352,2235385,98645,1537875,1759323,98301,351461,98642,64618,312330,1182050,0,25193,0,0,61083,60000,0,41.87,54.59,0.0,359908,469267,0,30430,859605
MT-SEN,senate,MT,SEN,Alani Bankhead,Kurt Alme,DEM,REP,,REP,-29.31,0.2,99.6,Safe R,-13.86,5.3,-9.21,0.36,0.0,-1.01,-20.58,-8.73,False,True,IND,0,,0.0,Seth Bodnar,21.88,0.2,,,0.0,confirmed,confirmed,29.54,44.7,6,-16.15,0.254,58829,1984861,3238151,21485,1450719,977779,5394980,3319114,37011,534142,2260371,18727,88310,369366,6627,639500,93050,6522,0,0,0,0,0,22.57,51.89,3.66,95283,219008,15448,92335,422074
NC-SEN,senate,NC,SEN,Roy Cooper,Michael Whatley,DEM,REP,,REP,5.64,71.3,28.7,Lean D,-2.8,5.3,4.63,0.53,1.9,-0.3,-3.27,8.91,False,False,GRN,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.06,40.36,27,9.49,0.305,34975789,11272504,0,20717567,3461698,0,12779729,24288501,14258222,7810806,0,4748620,1775437,0,820563,936330,0,0,0,0,0,46928,0,51.83,46.3,1.87,2066835,1846066,74566,0,3987467
NE-SEN,senate,NE,SEN,(No Democrat),Pete Ricketts,DEM,REP,REP,REP,-6.31,26.5,73.5,Lean R,-20.11,5.3,-7.15,-0.49,8.63,-0.48,-20.84,14.53,False,True,IND,0,,0.0,Dan Osborn,46.84,26.5,,,0.0,,confirmed,47.0,46.63,4,-2.63,0.186,0,11233507,5751951,0,6910970,2421487,992973,1732682,0,4809506,3393630,0,232136,2195423,0,1701815,139868,0,5295888,0,0,0,0,0.0,53.16,0.0,0,352435,0,310576,663011
